#Título,Descripción
Inflación,"Incremento de los precios de una cesta representativa de bienes y servicios en una geografía y durante un periodo de tiempo determinado, comunmente medido a través de una tasa porcentual."
Deflación,Inflación cuando el resultado de su cálculo es negativo. Refleja un descenso observado en el nivel general de precios.
Real vs. nominal,"Las magnitudes monetarias ""nominales"" son las observadas en cada momento temporal, sin ajustes. Las magnitudes denominadas ""reales"" son las que han sido ajustadas para neutralizar el efecto de la inflación a lo largo del tiempo y permitir una comparación de los precios relativos en dos momentos temporales distintos."
Deuda vs. déficit,"El déficit de una administración —lo contrario de superávit— es el gasto anual que no puede ser cubierto por los ingresos, y que debe ser pagado mediante préstamos o emitiendo productos financieros. La deuda de una administración es el déficit acumulado a lo largo de los años. Tanto el déficit como la deuda suelen ser medidas como porcentaje sobre el Producto Interior Bruto de la región, para poder comparar los datos de distintas administraciones."
Clasificación económica,"La clasificación económica de un presupuesto nos permite distinguir los gastos e ingresos en función de su naturaleza: ¿es un sueldo o es el recibo de la luz? ¿es una tasa o es una subvención de la Unión Europea? Esta clasificación es una jerarquía de cuatro niveles (capítulos, artículos, conceptos y subconceptos): así, por ejemplo, el Capítulo I de gastos corresponde a ""Gastos de personal"", que incluye como subdivisiones, entre otras, categorías tales como ""Altos cargos"" (Artículo 10) o ""Personal funcionario"" (Artículo 12), mientras que el Capítulo II se refiere a ""Gastos corrientes en bienes y servicios"", donde pueden encontrarse los gastos en ""Arrendamientos"" (Artículo 20) o ""Material, suministros y otros"" (Artículo 22). En el presupuesto de ingresos, el Capítulo I corresponde a los ""Impuestos directos"" y el Capítulo III contempla las ""Tasas, precios públicos y otros ingresos""."
Clasificación funcional,"La clasificación funcional de un presupuesto nos indica cual es el objetivo de un gasto concreto, es decir, distingue entre los gastos relacionados con ""Administración general"" y los que pertenecen a ""Sanidad"". Esta clasificación es una jerarquía con cuatro niveles (Grupo de Funciones, Función, Programa y Subprograma), pero los dos principales son las Funciones (también denominadas ""Políticas"") y Programas. Existen más de veinte políticas —objetivos de alto nivel como ""Sanidad"" o ""Educación""— y cuarenta y nueve programas, que concretan las políticas y se ocupan de, por ejemplo, ""Atención primaria"", ""Formación profesional"", ""Museos"" o ""Formación para el empleo""."
Clasificación orgánica,"La clasificación orgánica del presupuesto indica qué organismo es el responsable de cada ingreso o gasto. Podemos distinguir en un primer nivel a las Consejerías (Hacienda, Agricultura, ...), con sus departamentos en un segundo nivel, así como organismos autónomos como el Servicio Riojano de Salud."
Impuesto directo,"Un impuesto directo es aquel que grava las fuentes de ingresos o las propiedades de una persona, como son por ejemplo los impuestos sobre la Renta (IRPF), sucesiones y donaciones o patrimonio."
Impuestos especiales,"Son aquellos impuestos indirectos que se aplican a productos y consumos específicos, como pueden ser la gasolina o el tabaco."
Impuesto indirecto,"Impuestos indirectos son aquellos que gravan el consumo, bien de forma general (como el IVA), bien para productos específicos como el tabaco o el alcohol o sobre actividades del juego."
IRPF,"El IRPF (Impuesto sobre la Renta de las Personas Físicas) es un impuesto personal que grava a las personas físicas residentes en España (es decir, no a las empresas) en función de su renta total durante el año. Es un impuesto progresivo: a mayores ingresos, mayor es el porcentaje a pagar."
IVA,"El Impuesto sobre el Valor Añadido (IVA) es un impuesto al consumo (impuesto indirecto), aplicado a la mayor parte de las operaciones comerciales y profesionales. Es un impuesto pagado solamente por el consumidor final, y neutro para las empresas y profesionales. En función de la naturaleza del producto o servicio se aplican tres tipos distintos: general (21%), reducido (10%) o superreducido (4%)."
Liquidación,"La liquidación de un presupuesto consiste en verificar a lo largo del año, y a posteriori, el volumen de ingresos y gastos en cada uno de los apartados del presupuesto, frente a lo que recoge el presupuesto. En el caso de los ingresos la ejecución del presupuesto se mide por los derechos de cobro, y los gastos se miden por las obligaciones de pago. Estas magnitudes pueden diferir ligeramente de los flujos monetarios de cada ejercicio."
Presupuesto,"El presupuesto de cada ejercicio económico (que coincide con el año natural) recoge de forma ordenada y sistemática los ingresos y gastos que se prevén realizar en ese año, debiendo estar siempre igualadas las previsiones de ingresos y las de gastos. Es el Parlamento de La Rioja el que aprueba, con una Ley, el presupuesto para cada año.<br/><br/>El presupuesto está organizado en partidas, que pueden clasificarse de acuerdo a tres criterios diferentes: <ul><li>Según quién lo gasta o ingresa (clasificación orgánica)</li><li>Según en qué se gasta o de qué fuente provienen los ingresos (clasificación económica)</li><li>Según para qué se gasta (clasificación funcional, ésta sólo afecta al presupuesto de gastos)</li></ul><br/>Así como el presupuesto de ingresos recoge la previsión de ingresos que se van a conseguir, el presupuesto de gastos establece el importe máximo de los gastos que se pueden realizar."
Presupuesto consolidado,"A lo largo del ejercicio económico las previsiones de ingresos y gastos pueden sufrir modificaciones, dentro de los límites que establece la Ley. Pueden realizarse transferencias de crédito entre diferentes partidas, o ampliarse la previsión de determinados gastos si se realizan mayores ingresos, o el Parlamento puede, mediante una Ley, introducir cualquier modificación sobre el presupuesto inicial. El resultado de estas modificaciones, que se van produciendo a lo largo del ejercicio, es el Presupuesto Definitivo o Consolidado."
Presupuesto inicial,"El Presupuesto Inicial refleja la situación del presupuesto tal y como aparece en la Ley de Presupuestos Generales para ese ejercicio, aprobada por el Parlamento."